repository,fabric,canonical_gateway_repo,render_mode,render_target,vercel_mode,vercel_target,neon_project,coverage
Atlas-Ascend/Phantom_Engine-V-0.1,estate-core,Atlas-Ascend/VISHVARUPA-Software-Hardware-Organism,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-cloud-continuity,ghost-atlas-trifinity,ENROLLED
Atlas-Ascend/SerpentsSpine,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Mothership,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,shared-surface,ghost-atlas-enterprise-bootstrap,atlas-mind-command-center,ENROLLED
Atlas-Ascend/nextjs-ai-chatbot,operator-interface,Atlas-Ascend/Ghost-Atlas-Command-Center,shared-fabric,vishvarupa-organism,direct-git-project,nextjs-ai-chatbot,atlas-mind-commercial,ENROLLED
Atlas-Ascend/nextjs-boilerplate,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,direct-git-project,nextjs-boilerplate,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/nextjs,software-factory,Atlas-Ascend/Ghost-Atlas-Software-Factory-End-to-End-SDLC-Control-Plane,shared-fabric,ghost-atlas-runtime-worker-factory,direct-git-project,nextjs,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/MVP-Workforce-WarMachine,execution-fabric,Atlas-Ascend/EXECUTION-FABRIC-LIVE-OPERATIONS-THEATER,shared-fabric,ghost-atlas-runtime-gateway,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Discord-AIS-Ready-,event-fabric,Atlas-Ascend/Ghost-Atlas-Estate-Event-Gateway,shared-fabric,hermes-public-access-relay,shared-surface,ghost-atlas-machine-wake-observatory,ghost-atlas-estate-registry,ENROLLED
Atlas-Ascend/Medusa-Sovereign-Security,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,shared-fabric,janus-prime-runtime-authorization,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
Atlas-Ascend/Medusa---Operations-Runtime-Design-Repo-Build-Truth-,executive-control,Atlas-Ascend/Ghost-Atlas-Control-Plane,shared-fabric,janus-prime-runtime-authorization,shared-surface,ghost-atlas-machine-wake-observatory,atlas-mind-command-center,ENROLLED
